,Title,Content,Excerpt,,,,,,,,course,cuisine,ingredient,,,,,,,,,wprm_course,wprm_cuisine,,,,,wprm_ingredient,,,instructions,wprm_notes,,,,,,,,,,,,,,,,,,,,,,,,,Courses,Cuisines,,Ingredients,Ingredient Units,,,,Images Filename,,,,,,,,,,,,,,,,,,,,,Slug
,Coconut Mango Sticky Rice,"A classic Thai dessert of sweet coconut sticky rice paired with fresh mango, served in a coconut bowl for an authentic experience.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the sticky rice under cold water until the water runs clear. Soak the rice in water for at least 4 hours or overnight. → Drain the rice and steam it in a bamboo steamer or a rice cooker for about 20 minutes, or until tender. → While the rice is cooking, combine coconut milk, sugar, and a pinch of salt in a saucepan over medium heat. Stir until the sugar dissolves, but do not let it boil. → Once the rice is cooked, transfer it to a mixing bowl and pour about 3/4 of the coconut milk mixture over it. Stir to combine and let it sit for about 10 minutes to absorb the flavors. → To serve, place a portion of the sticky rice in a coconut bowl, top with fresh mango slices, and drizzle with the remaining coconut milk mixture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut milk,of salt,ripe mango,sticky rice,sugar","cup,Pinch",,,,Caprese-Quinoa-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-mango-sticky-rice
,Green Coconut Smoothie Bowl,"A nutrient-packed green smoothie bowl served in a coconut shell, perfect for a quick and healthy breakfast or post-workout snack.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In a blender, combine the spinach, banana, coconut milk, and chia seeds. Blend until smooth. → Pour the smoothie into a coconut shell or bowl. → Top with sliced kiwi and any additional toppings you desire, such as granola, coconut flakes, or berries. → Serve immediately and enjoy your healthy breakfast or snack!",,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"Additional toppings: granola,chia seeds,coconut milk,fresh spinach,kiwi,ripe banana","cup,tablespoon",,,,Caprese-Quinoa-2.jpg,,,,,,,,,,,,,,,,,,,,,green-coconut-smoothie-bowl
,Coconut Chickpea Curry,"A rich and creamy vegan coconut chickpea curry served in a coconut bowl, bringing the flavors of India to your table.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In a large pot, heat a splash of oil over medium heat. Add the minced garlic and grated ginger, sautéing until fragrant. → Add the diced tomatoes and cook until softened, about 5 minutes. → Stir in the curry powder, cumin, and turmeric, cooking for another minute. → Add the chickpeas and coconut milk, stirring to combine. Bring to a simmer. → Reduce the heat and let it simmer for about 20 minutes, allowing the flavors to meld. Stir occasionally. → Season with salt and pepper to taste. Serve hot in coconut bowls, garnished with fresh cilantro if desired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"can chickpeas,can coconut milk,cumin,curry powder,Fresh cilantro for garnish,garlic,ginger,medium tomatoes,Salt and pepper to taste,turmeric","cloves,tablespoon,tablespoons,teaspoon",,,,Caprese-Quinoa-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-chickpea-curry
,Coconut Yogurt Parfait,"A layered coconut yogurt parfait with crunchy granola and fresh berries, served in a coconut bowl for a delightful breakfast or dessert.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In a coconut bowl, start by adding a layer of coconut yogurt at the bottom. → Add a layer of granola on top of the yogurt. → Add a layer of mixed berries over the granola. → Repeat the layers until the bowl is filled, finishing with a layer of berries on top. → If desired, drizzle honey over the top for added sweetness. → Serve immediately and enjoy your refreshing parfait!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut yogurt,granola,honey,mixed berries","cup,tablespoon",,,,Caprese-Quinoa-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-yogurt-parfait
,Pina Colada Overnight Oats,"A tropical twist on overnight oats with the flavors of pina colada, served in a coconut bowl for a fun and tasty breakfast.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In a mixing bowl, combine the rolled oats, coconut milk, diced pineapple, and rum extract. Stir well to combine. → Transfer the mixture to a coconut bowl or jar, cover, and refrigerate overnight (or for at least 8 hours). → In the morning, give the oats a good stir. If the mixture is too thick, add a splash more coconut milk to reach your desired consistency. → Top with additional pineapple, shredded coconut, or nuts if desired, and enjoy your delicious pina colada overnight oats!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut milk,fresh pineapple,Optional toppings: shredded coconut,rolled oats,rum extract","cup,teaspoon",,,,Pina-Colada-Overnight-Oats-1.jpg,,,,,,,,,,,,,,,,,,,,,pina-colada-overnight-oats
,Coconut Seafood Chowder,"A rich and creamy coconut seafood chowder served in a coconut bowl, perfect for a comforting and luxurious meal.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In a large pot, heat the olive oil over medium heat. Add the diced onion and minced garlic, sautéing until translucent. → Add the diced potatoes and corn, stirring to combine. Cook for about 5 minutes. → Pour in the vegetable or seafood broth and bring to a boil. Reduce heat and let simmer until the potatoes are tender, about 15 minutes. → Stir in the coconut milk and mixed seafood. Cook for an additional 5-7 minutes, or until the seafood is cooked through. → Season with salt and pepper to taste. Serve hot in coconut bowls, garnished with fresh parsley if desired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"can coconut milk,corn,Fresh parsley for garnish,garlic,medium potatoes,mixed seafood,olive oil,onion,Salt and pepper to taste,vegetable or seafood broth","cloves,cup,cups,lb,tablespoon",,,,Coconut-Bowl-Meal-Prepping-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-seafood-chowder
,Global Fusion Bowls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lemon-shrimp.jpg,,,,,,,,,,,,,,,,,,,,,global-fusion-bowls
,Strawberry Cheesecake Dream Smoothie Bowl,"A smoothie bowl that captures the essence of a strawberry cheesecake, perfect for a sweet start to your day.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blend the strawberries, Greek yogurt, almond milk, honey, and vanilla extract until smooth. → Pour into a bowl and top with fresh strawberries and crushed graham crackers.",,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"almond milk,frozen strawberries,Greek yogurt,honey,vanilla extract","cup,tablespoon,teaspoon",,,,Pistachio-Rose-smoothie-bowl.jpg,,,,,,,,,,,,,,,,,,,,,strawberry-cheesecake-dream-smoothie-bowl
,Tropical Mango Madness Smoothie Bowl,"A tropical paradise in a bowl, bursting with mango and coconut flavors.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blend the mango, coconut milk, honey, and vanilla extract until smooth. → Pour into a bowl and top with fresh mango slices and shredded coconut.",,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"coconut milk,frozen mango,honey,vanilla extract","cup,tablespoon,teaspoon",,,,Tropical-Mango-Madness-2.png,,,,,,,,,,,,,,,,,,,,,tropical-mango-madness-smoothie-bowl
,Peanut Butter Jelly Time Smoothie Bowl,"A nostalgic smoothie bowl that brings the classic peanut butter and jelly flavors to life.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blend the banana, berries, peanut butter, almond milk, and honey until smooth. → Pour into a bowl and top with sliced banana and fresh berries.",,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"almond milk,frozen banana,honey,mixed berries,peanut butter","cup,tablespoon",,,,Crisp-Apple-Pitaya-Smoothie-Bowl-2.jpg,,,,,,,,,,,,,,,,,,,,,peanut-butter-jelly-time-smoothie-bowl
,Cinnamon Roll Swirl Smoothie Bowl,"A smoothie bowl inspired by the sweet, spicy flavors of a cinnamon roll.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blend the banana, Greek yogurt, almond milk, cinnamon, and honey until smooth. → Pour into a bowl and top with sliced banana and granola.",,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"almond milk,cinnamon,frozen banana,Greek yogurt,honey","cup,tablespoon,teaspoon",,,,salted-caramel-smoothie.jpg,,,,,,,,,,,,,,,,,,,,,cinnamon-roll-swirl-smoothie-bowl
,Mint Chocolate Chip Smoothie Bowl,"A refreshing smoothie bowl that combines mint and chocolate flavors.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blend the banana, peppermint extract, cocoa powder, almond milk, and honey until smooth. → Pour into a bowl and top with chocolate chips and fresh mint leaves.",,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"almond milk,cocoa powder,frozen banana,honey,peppermint extract","cup,tablespoon,tablespoons,teaspoon",,,,Coconut-and-Cardamom-smoothie-bowl.jpg,,,,,,,,,,,,,,,,,,,,,mint-chocolate-chip-smoothie-bowl
,Berry Cheesecake Smoothie Bowl,"A creamy and fruity smoothie bowl that mimics the flavors of berry cheesecake.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blend the berries, Greek yogurt, almond milk, honey, and vanilla extract until smooth. → Pour into a bowl and top with fresh berries and crushed graham crackers.",,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"almond milk,Greek yogurt,honey,mixed berries,vanilla extract","cup,tablespoon,teaspoon",,,,Berry-Cheesecake-Smoothie-Bowl.jpg,,,,,,,,,,,,,,,,,,,,,berry-cheesecake-smoothie-bowl
,Tiramisu Temptation Smoothie Bowl,"A luxurious smoothie bowl with the rich flavors of tiramisu.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blend the banana, coffee, cocoa powder, Greek yogurt, and honey until smooth. → Pour into a bowl and top with chocolate shavings and crushed ladyfingers.",,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"brewed coffee,cocoa powder,frozen banana,Greek yogurt,honey","cup,tablespoon,tablespoons",,,,Tiramisu-Temptation-Smoothie-Bowl-3.jpg,,,,,,,,,,,,,,,,,,,,,tiramisu-temptation-smoothie-bowl
,Classic Quinoa Buddha Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Cook quinoa according to package instructions. </p> → <p>Layer bowl with quinoa, chickpeas, carrots, cherry tomatoes, and avocado.</p> → Drizzle with tahini dressing and garnish with cilantro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,cherry tomatoes,chickpeas,cilantro,quinoa,shredded carrots,Tahini dressing","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,classic-quinoa-buddha-bowl
,Brown Rice and Veggie Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook brown rice. → Steam broccoli. → Layer rice with broccoli, cabbage, edamame, and carrot ribbons. → Drizzle with ginger dressing and sprinkle with sesame seeds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown rice,carrot ribbons,cooked broccoli,edamame,ginger dressing,sesame seeds,shredded purple cabbage","cup,tbsp",,,,Rainbow-buddha-bowls-2.jpg,,,,,,,,,,,,,,,,,,,,,brown-rice-and-veggie-bowl
,Barley Kale Buddha Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook barley. → Saute kale. → Roast sweet potatoes. → Layer barley with kale, sweet potatoes, beans, and corn. → Drizzle with lemon tahini dressing and sprinkle with sunflower seeds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barley,black beans,corn,kale,Lemon-tahini dressing,roasted sweet potatoes,sunflower seeds","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,barley-kale-buddha-bowl
,Farro Veggie Delight Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook farro as per package instructions. → Roast zucchini and bell pepper. → Layer farro with tomatoes, zucchini, bell pepper, and avocado. → Drizzle with balsamic glaze and garnish with basil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,balsamic glaze,basil,bell pepper,cherry tomatoes,farro,roasted zucchini","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,farro-veggie-delight-bowl
,Spicy Fried Rice Buddha Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook brown rice. → Stir-fry tofu, peas, carrots, and bell peppers with soy sauce and sriracha. → Layer rice with stir-fried veggies and garnish with green onions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bell peppers,brown rice,carrots,green onions,peas,soy sauce,sriracha,tofu","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,spicy-fried-rice-buddha-bowl
,Black Bean Quinoa Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook quinoa. → Combine black beans, corn, red onion, and tomatoes. → Layer quinoa with bean and veggie mixture, avocado, and garnish with lime juice and cilantro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,can black beans,cilantro,corn,diced tomatoes,lime juice,quinoa,red onion",cup,,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,black-bean-quinoa-bowl
,Wild Rice and Mushroom Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook wild rice as per package instructions. → Sauté mushrooms and steam broccoli. → Layer rice with mushrooms, broccoli, carrots, and drizzle with soy sauce. → Sprinkle with sesame seeds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sautéed mushrooms,sesame seeds,shredded carrots,soy sauce,steamed broccoli,wild rice","cup,tbsp",,,,Coconut-Oil-and-Lavender-Salve.png,,,,,,,,,,,,,,,,,,,,,wild-rice-and-mushroom-bowl
,Mediterranean Couscous Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prepare couscous. → Dice cucumber, tomatoes, and onion. → Layer couscous with cucumber, tomatoes, onion, olives, and a dollop of hummus. → Garnish with parsley.",,,,,,,,,,,,,,,,,,,,,,,,,,,Mediterranean,,"cherry tomatoes,couscous,cucumber,hummus,Kalamata olives,parsley,red onion","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,mediterranean-couscous-bowl
,Peanut Tofu Rice Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook jasmine rice. → SautÃ© tofu and snap peas. → Layer rice with tofu, carrots, cabbage, and snap peas. → Drizzle with peanut sauce and garnish with lime wedge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jasmine rice,lime wedge,Peanut sauce,red cabbage,shredded carrots,snap peas,tofu","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,peanut-tofu-rice-bowl
,Herbed Bulgur Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prepare bulgur. → Roast mixed vegetables. → Layer bulgur with vegetables, chickpeas, and tomatoes. → Drizzle with herb dressing and garnish with mint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bulgur,cherry tomatoes,chickpeas,fresh mint,herb dressing,roasted vegetables","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,herbed-bulgur-bowl
,Zesty Quinoa and Bean Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook quinoa. → Mix pinto beans, corn, and bell pepper. → Layer quinoa with bean mixture and salsa. → Garnish with lime juice and cilantro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bell pepper,cilantro,corn,lime juice,pinto beans,quinoa,salsa",cup,,,,party.jpg,,,,,,,,,,,,,,,,,,,,,zesty-quinoa-and-bean-bowl
,Roasted Veggie Freekeh Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prepare freekeh. → Roast sweet potatoes, peppers, and zucchini. → Layer freekeh with roasted veggies and avocado. → Drizzle with tahini sauce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,freekeh,roasted peppers,roasted sweet potatoes,tahini sauce,zucchini","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,roasted-veggie-freekeh-bowl
,BBQ Tofu Brown Rice Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook brown rice. → Sauté tofu with BBQ sauce. → Layer rice with tofu, corn, black beans, and spinach. → Drizzle with extra BBQ sauce and garnish with cilantro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BBQ sauce,BBQ tofu,black beans,brown rice,cilantro,corn,spinach","cup,tbsp",,,,bbq-teriyaki-tofu-3.jpg,,,,,,,,,,,,,,,,,,,,,bbq-tofu-brown-rice-bowl
,Green Goddess Farro Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook farro. → Add fresh spinach, cucumber, edamame, and avocado. → Drizzle with green goddess dressing and sprinkle pumpkin seeds on top.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,cucumber,edamame,farro,Green goddess dressing,pumpkin seeds,spinach","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,green-goddess-farro-bowl
,Lentil Bulgur Buddha Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook bulgur and lentils separately. → Layer bulgur with lentils, tomatoes, and carrots. → Drizzle with lemon dressing and garnish with parsley.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bulgur,cherry tomatoes,green lentils,lemon dressing,parsley,shredded carrots","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,lentil-bulgur-buddha-bowl
,Sweet Chili Rice Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook jasmine rice. → Lightly steam broccoli, cabbage, and snap peas. Layer rice with veggies and avocado. → Drizzle with sweet chili sauce and sprinkle with sesame seeds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,broccoli,jasmine rice,red cabbage,sesame seeds,snap peas,sweet chili sauce","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,sweet-chili-rice-bowl
,Greek Quinoa Bowl,"A healthy and delicious Greek Quinoa Bowl packed with fresh vegetables and topped with hummus, perfect for a nutritious lunch or dinner.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the quinoa under cold water and cook according to package instructions. → While the quinoa is cooking, dice the cucumber, halve the cherry tomatoes, and dice the red onion. → Once the quinoa is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the quinoa with the diced vegetables and sliced olives. → Top with a dollop of hummus and season with salt and pepper to taste. → Garnish with fresh parsley if desired and serve immediately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cherry tomatoes,cucumber,Fresh parsley for garnish,hummus,Kalamata olives,quinoa,red onion,Salt and pepper to taste","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,greek-quinoa-bowl
,Asian Barley Bowl,"A nutritious and colorful Asian Barley Bowl packed with fresh vegetables and topped with a delicious sesame dressing, perfect for a healthy meal.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the barley under cold water and cook according to package instructions (usually about 30 minutes). → While the barley is cooking, lightly steam the edamame and bell pepper until tender. → Once the barley is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked barley with the steamed edamame, shredded carrots, diced bell pepper, and sliced avocado. → Drizzle with sesame dressing and sprinkle with sesame seeds before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,barley,bell pepper,edamame,sesame dressing,Sesame seeds for garnish,shredded carrots","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,asian-barley-bowl
,Harvest Grain Bowl,"A nutritious and delicious Harvest Grain Bowl filled with wholesome ingredients, perfect for a healthy lunch or dinner.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the farro under cold water and cook according to package instructions (usually about 30 minutes). → While the farro is cooking, roast the butternut squash in the oven at 400°F (200°C) for about 20 minutes, or until tender. → Once the farro is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked farro with roasted butternut squash, dried cranberries, chopped pecans, and apple slices. → Drizzle with maple vinaigrette before serving and enjoy!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"apple,dried cranberries,farro,maple vinaigrette,pecans,roasted butternut squash","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,harvest-grain-bowl
,Lemon Herb Quinoa Bowl,"A fresh and vibrant Lemon Herb Quinoa Bowl packed with nutritious ingredients, perfect for a light meal or side dish.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the quinoa under cold water and cook according to package instructions (usually about 15 minutes). → While the quinoa is cooking, lightly sauté the diced zucchini in a pan over medium heat until tender, about 3-4 minutes. → Once the quinoa is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked quinoa with sautéed zucchini, halved cherry tomatoes, and chickpeas. → Drizzle with lemon herb dressing and garnish with fresh basil before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cherry tomatoes,chickpeas,Fresh basil for garnish,lemon herb dressing,quinoa,zucchini","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,lemon-herb-quinoa-bowl
,Mexican Rice Bowl,"A hearty and flavorful Mexican Rice Bowl filled with nutritious ingredients, perfect for a satisfying lunch or dinner.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the brown rice under cold water and cook according to package instructions (usually about 30 minutes). → While the rice is cooking, mix the black beans, corn, and diced bell peppers in a bowl. → Once the rice is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked brown rice with the bean mixture and top with salsa. → Garnish with a lime wedge and fresh cilantro before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bell peppers,black beans,brown rice,corn,Fresh cilantro for garnish,Lime wedge for garnish,salsa",cup,,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,mexican-rice-bowl
,Southwest Quinoa Bowl,"A flavorful and nutritious Southwest Quinoa Bowl that combines fresh ingredients for a delicious meal.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the quinoa under cold water and cook according to package instructions (usually about 15 minutes). → While the quinoa is cooking, mix the black beans, corn, and diced bell pepper in a bowl. → Once the quinoa is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked quinoa with the bean mixture and top with sliced avocado. → Drizzle with salsa and garnish with a lime wedge before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,bell pepper,black beans,corn,Lime wedge for garnish,quinoa,salsa","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,southwest-quinoa-bowl
,Pesto Farro Buddha Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook farro. → Roast zucchini. → Layer farro with tomatoes, zucchini, and corn. → Stir in pesto and garnish with basil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cherry tomatoes,corn,farro,pesto,roasted zucchini","cup,tbsp",,,,Pesto-Farro-Buddha-Bowl-2.jpg,,,,,,,,,,,,,,,,,,,,,pesto-farro-buddha-bowl
,Curry Quinoa Buddha Bowl,"A vibrant and nutritious Curry Quinoa Buddha Bowl packed with flavor and healthy ingredients, perfect for a wholesome meal.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the quinoa under cold water and cook according to package instructions (usually about 15 minutes). → While the quinoa is cooking, roast the chickpeas and cauliflower in the oven at 400°F (200°C) for about 20 minutes, tossing with curry sauce halfway through. → Once the quinoa is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked quinoa with roasted chickpeas, cauliflower, and fresh spinach. → Garnish with fresh cilantro before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chickpeas,curry sauce,Fresh cilantro for garnish,fresh spinach,quinoa,roasted cauliflower","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,curry-quinoa-buddha-bowl
,Mediterranean Rice Bowl,"A refreshing and healthy Mediterranean Rice Bowl filled with vibrant ingredients, perfect for a light meal or lunch.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the jasmine rice under cold water and cook according to package instructions (usually about 15 minutes). → While the rice is cooking, dice the cucumber, halved cherry tomatoes, and red onion. → Once the rice is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked jasmine rice with the diced vegetables and sliced olives. → Top with a dollop of hummus and garnish with fresh parsley before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,Mediterranean,,"cherry tomatoes,cucumber,Fresh parsley for garnish,hummus,jasmine rice,olives,red onion","cup,tbsp",,,,Quinoa-Chickpea-4.jpg,,,,,,,,,,,,,,,,,,,,,mediterranean-rice-bowl
,Ginger Miso Brown Rice Bowl,"A nutritious and flavorful Ginger Miso Brown Rice Bowl that combines fresh vegetables and wholesome ingredients, perfect for a healthy meal.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the brown rice under cold water and cook according to package instructions (usually about 30 minutes). → While the rice is cooking, lightly steam the snap peas and shredded carrots until they are tender-crisp, about 3-4 minutes. → Once the rice is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked brown rice with steamed snap peas, shredded carrots, and edamame. → Drizzle with ginger miso dressing and sprinkle with sesame seeds before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown rice,edamame,ginger miso dressing,Sesame seeds for garnish,shredded carrots,snap peas","cup,tbsp",,,,party-1.jpg,,,,,,,,,,,,,,,,,,,,,ginger-miso-brown-rice-bowl
,Chipotle Black Bean Quinoa Bowl,"A spicy and satisfying Chipotle Black Bean Quinoa Bowl that's packed with flavor and nutrients, perfect for a hearty meal.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the quinoa under cold water and cook according to package instructions (usually about 15 minutes). → While the quinoa is cooking, mix the black beans, corn, and diced bell peppers in a bowl. → Once the quinoa is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked quinoa with the black bean mixture and top with sliced avocado. → Drizzle with chipotle sauce and garnish with a lime wedge before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avocado,bell peppers,black beans,chipotle sauce,corn,Lime wedge for garnish,quinoa","cup,tbsp",,,,party-1.jpg,,,,,,,,,,,,,,,,,,,,,chipotle-black-bean-quinoa-bowl
,Spring Veggie Farro Bowl,"A fresh and vibrant Spring Veggie Farro Bowl that celebrates seasonal vegetables, perfect for a light and healthy meal.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rinse the farro under cold water and cook according to package instructions (usually about 30 minutes). → While the farro is cooking, lightly steam the asparagus and snap peas until tender-crisp, about 3-4 minutes. → Once the farro is cooked, fluff it with a fork and let it cool slightly. → In a bowl, layer the cooked farro with halved cherry tomatoes, steamed asparagus, and snap peas. → Drizzle with lemon vinaigrette and garnish with fresh mint before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"asparagus,cherry tomatoes,farro,Fresh mint for garnish,Lemon vinaigrette,snap peas","cup,tbsp",,,,party-1.jpg,,,,,,,,,,,,,,,,,,,,,spring-veggie-farro-bowl
